Coordenadas,Latitud,Longitud
"(32.3879906,-116.9398586), (32.3819137,-116.9370563), (32.3723734,-116.9245690), (4. 32.3941618, -116.9338283)",32.3879906,-116.9398586
"32.4278133, -116.9899682",32.4278133,-116.9899682
"32.5533510, -116.8961028",32.553351,-116.8961028
"(32.1620943, -116.8968088)",32.1620943,-116.8968088
"(32.4761625, -116.8129374), ",32.4761625,-116.8129374
"(32.4751256, -117.0566725)",32.4751256,-117.0566725
"(32.5162718, -116.8328284)",32.5162718,-116.8328284
"(32.4751256, -117.0566725)",32.4751256,-117.0566725
"(32.4751256, -117.0566725) ",32.4751256,-117.0566725
"(32.456663274351925, -116.82808997506221), (32.386675393803564, -116.96177037506496)",32.456663274351925,-116.82808997506221
"(32.4751256, -117.0566725)",32.4751256,-117.0566725
"(32.4751256, -117.0566725)",32.4751256,-117.0566725
